book_ID,ID,number,createdAt,createdBy,modifiedAt,modifiedBy
10989225-8253-49f6-83d7-75b231e4746d,10705725-58af-4660-ad93-0beacf10112f,35,2012-01-17T00:00:00.000Z,createdBy.my24@example.com,2000-12-14T00:00:00.000Z,modifiedBy.my24@example.com
10989225-8253-49f6-83d7-75b231e4746d,10705737-21ea-4918-8cc6-88171722c4dd,19,2015-04-24T00:00:00.000Z,createdBy.my25@example.com,2001-01-11T00:00:00.000Z,modifiedBy.my25@example.com
10989226-845b-45a7-af50-032d6bf9e890,13032730-565a-418c-8f58-332f46bd92e6,49,2017-02-06T00:00:00.000Z,createdBy.7rc4a@example.com,2005-02-09T00:00:00.000Z,modifiedBy.7rc4a@example.com
10989226-845b-45a7-af50-032d6bf9e890,13032731-24ee-476a-bc8c-6c901737402b,12,2019-06-17T00:00:00.000Z,createdBy.7rc4b@example.com,2017-09-15T00:00:00.000Z,modifiedBy.7rc4b@example.net
10989227-a8a1-447a-8479-ae222907221c,14554662-1859-41d8-8f2e-318502529f7e,16,2014-07-13T00:00:00.000Z,createdBy.8nyg6@example.net,2003-07-08T00:00:00.000Z,modifiedBy.8nyg6@example.org
10989227-a8a1-447a-8479-ae222907221c,14554663-2a6b-41f7-98f5-920760a5c49b,2,2014-02-11T00:00:00.000Z,createdBy.8nyg7@example.com,2004-07-18T00:00:00.000Z,modifiedBy.8nyg7@example.org
10989228-ddfb-4580-b38f-b1cf87a6601e,401153ba-eddd-4000-b768-e5d77c8258e8,38,2015-02-08T00:00:00.000Z,createdBy.8lj5@example.org,2001-05-09T00:00:00.000Z,modifiedBy.8lj5@example.org
10989228-ddfb-4580-b38f-b1cf87a6601e,40115414-ac3a-4cb3-bccc-d811147d02d7,46,2004-08-15T00:00:00.000Z,createdBy.8lj6@example.com,2004-09-25T00:00:00.000Z,modifiedBy.8lj6@example.net
10989229-2aae-47b4-ab27-31b82548db06,10352043-fd48-4bf1-be39-37c2663c6c97,69,2022-10-17T00:00:00.000Z,createdBy.65vor@example.org,2012-11-22T00:00:00.000Z,modifiedBy.65vor@example.net
10989229-2aae-47b4-ab27-31b82548db06,10352044-9089-4d28-b09c-3fa30b9ab2b7,8,2002-08-05T00:00:00.000Z,createdBy.65vos@example.com,2014-04-22T00:00:00.000Z,modifiedBy.65vos@example.org
