code,locale,name,descr
358,es,name-6879245,descr-6879245
358,pt,name-6879246,descr-6879246
718,hu,name-18239047,descr-18239047
718,ms,name-18239048,descr-18239048
719,ja,name-424566,descr-424566
719,es,name-424567,descr-424567
720,th,name-20017795,descr-20017795
720,nl,name-20017796,descr-20017796
721,hu,name-12573058,descr-12573058
721,ro,name-12573059,descr-12573059
722,ko,name-13686756,descr-13686756
722,en,name-13686757,descr-13686757
723,ko,name-8068520,descr-8068520
723,fi,name-8068521,descr-8068521
724,sv,name-1227687,descr-1227687
725,it,name-6375494,descr-6375494
725,ms,name-6375495,descr-6375495
726,it,name-11407912,descr-11407912
726,tr,name-11407913,descr-11407913
